Name,Unit,Equation,Format,Address,Length,Signed,ProgMin,ProgMax,WarnMin,WarnMax,Smoothing,Enabled,Tabs,Assign To
Turbo Speed,krpm,x / 163.8400000001536,%01.0f,0xb00095fc,2,FALSE,0,220,-100,300,0,TRUE,,
Valve Lift Pos,,x,%01.0f,0xd0017f62,1,FALSE,0,1,-1000,1000,0,TRUE,,
Vehicle Speed,mph,x / 160.934,%01.1f,0xb000d3d4,2,FALSE,0,150,-1000,220,0,TRUE,,
WG Flow Des,kg/hr,x / 32,%01.0f,0xd0015c5e,2,FALSE,0,1024,-1000,10000,0,TRUE,,
WG Pos Base,%,x / 655.3599999999997,%01.1f,0xd000773c,2,FALSE,0,100,-1000,1000,0,TRUE,,
WG Pos Final,%,x / 655.3599999999997,%01.1f,0xb000958e,2,FALSE,0,100,-1000,1000,0,TRUE,,
WG I Value,%,x / 327.68,%01.1f,0xd0007732,2,TRUE,-100,100,-1000,1000,0,TRUE,,
WG P-D Value,%,x / 327.68,%01.1f,0xd000773e,2,TRUE,-100,100,-1000,1000,0,TRUE,,
Accel Lat,g,(x - 127) / 98.1,%01.2f,0xd0015cea,1,FALSE,-20,20,-1000,1000,0,TRUE,,
Accel Long,g,(x - 512) / 313.92,%01.2f,0xb000bed0,2,FALSE,-20,20,-1000,1000,0,TRUE,,
Cruise,,x,%01.0f,0xd001a4ab,1,FALSE,0,10,-1000,1000,0,TRUE,,
